Code postaux;Academie;Departement;Commune;Denomination principale;Patronyme;Secteur;Nombre total de classes;Nombre total d'eleves;Nombre d'eleves en pre-elementaire hors ULIS;Nombre d'eleves en elementaire hors ULIS;Nombre d'eleves en ULIS;Nombre d'eleves en CP hors ULIS;Nombre d'eleves en CE1 hors ULIS;Nombre d'eleves en CE2 hors ULIS;Nombre d'eleves en CM1 hors ULIS;Nombre d'eleves en CM2 hors ULIS;tri
03200;CLERMONT-FERRAND;ALLIER;ABREST;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;7;166;52;114;0;23;21;21;19;30;CLERMONT-FERRAND-ALLIER-ABREST-03200
03360;CLERMONT-FERRAND;ALLIER;AINAY-LE-CHATEAU;ECOLE PRIMAIRE;;PUBLIC;5;107;39;68;0;10;16;10;15;17;CLERMONT-FERRAND-ALLIER-AINAY-LE-CHATEAU-03360
03380;CLERMONT-FERRAND;ALLIER;ARCHIGNAT;ECOLE DE NIVEAU ELEMENTAIRE;DU PARC;PUBLIC;2;47;35;12;0;0;12;0;0;0;CLERMONT-FERRAND-ALLIER-ARCHIGNAT-03380
03120;CLERMONT-FERRAND;ALLIER;ARFEUILLES;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;3;50;20;30;0;7;7;8;6;2;CLERMONT-FERRAND-ALLIER-ARFEUILLES-03120
03420;CLERMONT-FERRAND;ALLIER;ARPHEUILLES-SAINT-PRIEST;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;16;0;16;0;0;0;3;4;9;CLERMONT-FERRAND-ALLIER-ARPHEUILLES-SAINT-PRIEST-03420
03250;CLERMONT-FERRAND;ALLIER;ARRONNES;ECOLE ELEMENTAIRE PUBLIQUE;EMILE FRADIN;PUBLIC;2;33;0;33;0;0;8;9;11;5;CLERMONT-FERRAND-ALLIER-ARRONNES-03250
03190;CLERMONT-FERRAND;ALLIER;AUDES;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;2;37;17;20;0;0;0;0;0;20;CLERMONT-FERRAND-ALLIER-AUDES-03190
03460;CLERMONT-FERRAND;ALLIER;AUROUER;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;2;25;9;16;0;4;3;3;1;5;CLERMONT-FERRAND-ALLIER-AUROUER-03460
03210;CLERMONT-FERRAND;ALLIER;AUTRY-ISSARDS;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;1;17;5;12;0;1;1;2;4;4;CLERMONT-FERRAND-ALLIER-AUTRY-ISSARDS-03210
03000;CLERMONT-FERRAND;ALLIER;AVERMES;ECOLE ELEMENTAIRE PUBLIQUE;JEAN MOULIN;PUBLIC;5;103;0;103;0;21;21;19;23;19;CLERMONT-FERRAND-ALLIER-AVERMES-03000
03000;CLERMONT-FERRAND;ALLIER;AVERMES;ECOLE MATERNELLE PUBLIQUE;FRANCOIS REVERET;PUBLIC;3;60;60;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-AVERMES-03000
03000;CLERMONT-FERRAND;ALLIER;AVERMES;ECOLE MATERNELLE PUBLIQUE;JEAN MOULIN;PUBLIC;3;62;62;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-AVERMES-03000
03000;CLERMONT-FERRAND;ALLIER;AVERMES;ECOLE ELEMENTAIRE PUBLIQUE;FRANCOIS REVERET;PUBLIC;5;111;0;111;0;26;19;21;27;18;CLERMONT-FERRAND-ALLIER-AVERMES-03000
03500;CLERMONT-FERRAND;ALLIER;BAYET;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;4;85;32;53;0;14;12;9;8;10;CLERMONT-FERRAND-ALLIER-BAYET-03500
03230;CLERMONT-FERRAND;ALLIER;BEAULON;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;4;93;0;93;0;19;15;23;18;18;CLERMONT-FERRAND-ALLIER-BEAULON-03230
03230;CLERMONT-FERRAND;ALLIER;BEAULON;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;2;39;39;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-BEAULON-03230
03390;CLERMONT-FERRAND;ALLIER;BEAUNE-D'ALLIER;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;23;0;23;0;10;11;2;0;0;CLERMONT-FERRAND-ALLIER-BEAUNE-D'ALLIER-03390
03330;CLERMONT-FERRAND;ALLIER;BELLENAVES;ECOLE PRIMAIRE;FELICIEN BARTHOUX;PUBLIC;6;119;40;72;7;12;15;13;17;15;CLERMONT-FERRAND-ALLIER-BELLENAVES-03330
03700;CLERMONT-FERRAND;ALLIER;BELLERIVE-SUR-ALLIER;ECOLE ELEMENTAIRE PUBLIQUE;JEAN BAPTISTE BURLOT;PUBLIC;8;170;0;170;0;31;32;33;33;41;CLERMONT-FERRAND-ALLIER-BELLERIVE-SUR-ALLIER-03700
03700;CLERMONT-FERRAND;ALLIER;BELLERIVE-SUR-ALLIER;ECOLE MATERNELLE PUBLIQUE;JEAN ZAY;PUBLIC;5;92;92;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-BELLERIVE-SUR-ALLIER-03700
03700;CLERMONT-FERRAND;ALLIER;BELLERIVE-SUR-ALLIER;ECOLE ELEMENTAIRE PUBLIQUE;MARX DORMOY;PUBLIC;9;168;0;157;11;36;31;25;31;34;CLERMONT-FERRAND-ALLIER-BELLERIVE-SUR-ALLIER-03700
03700;CLERMONT-FERRAND;ALLIER;BELLERIVE-SUR-ALLIER;ECOLE MATERNELLE PUBLIQUE;ALEXANDRE VARENNE;PUBLIC;4;75;75;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-BELLERIVE-SUR-ALLIER-03700
03340;CLERMONT-FERRAND;ALLIER;BESSAY-SUR-ALLIER;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;2;37;37;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-BESSAY-SUR-ALLIER-03340
03340;CLERMONT-FERRAND;ALLIER;BESSAY-SUR-ALLIER;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;4;72;0;72;0;17;10;18;14;13;CLERMONT-FERRAND-ALLIER-BESSAY-SUR-ALLIER-03340
03210;CLERMONT-FERRAND;ALLIER;BESSON;ECOLE PRIMAIRE PUBLIQUE;EX GARCONS;PUBLIC;4;87;33;54;0;6;8;16;14;10;CLERMONT-FERRAND-ALLIER-BESSON-03210
03170;CLERMONT-FERRAND;ALLIER;BEZENET;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;3;58;27;31;0;6;7;4;4;10;CLERMONT-FERRAND-ALLIER-BEZENET-03170
03120;CLERMONT-FERRAND;ALLIER;BILLEZOIS;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;1;18;9;9;0;1;3;3;0;2;CLERMONT-FERRAND-ALLIER-BILLEZOIS-03120
03260;CLERMONT-FERRAND;ALLIER;BILLY;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;4;76;31;45;0;9;9;9;7;11;CLERMONT-FERRAND-ALLIER-BILLY-03260
03800;CLERMONT-FERRAND;ALLIER;BIOZAT;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;5;103;33;70;0;11;15;11;17;16;CLERMONT-FERRAND-ALLIER-BIOZAT-03800
03170;CLERMONT-FERRAND;ALLIER;BIZENEUILLE;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;1;25;25;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-BIZENEUILLE-03170
03150;CLERMONT-FERRAND;ALLIER;BOUCE;ECOLE PRIMAIRE PUBLIQUE;L.AIME - J.JUTIER;PUBLIC;2;36;26;10;0;10;0;0;0;0;CLERMONT-FERRAND-ALLIER-BOUCE-03150
03160;CLERMONT-FERRAND;ALLIER;BOURBON-L'ARCHAMBAULT;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;7;125;0;113;12;8;25;17;28;35;CLERMONT-FERRAND-ALLIER-BOURBON-L'ARCHAMBAULT-03160
03160;CLERMONT-FERRAND;ALLIER;BOURBON-L'ARCHAMBAULT;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;3;55;55;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-BOURBON-L'ARCHAMBAULT-03160
03360;CLERMONT-FERRAND;ALLIER;BRAIZE;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;10;0;10;0;6;4;0;0;0;CLERMONT-FERRAND-ALLIER-BRAIZE-03360
03500;CLERMONT-FERRAND;ALLIER;BRANSAT;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;2;42;42;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-BRANSAT-03500
03210;CLERMONT-FERRAND;ALLIER;BRESNAY;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;19;0;19;0;10;9;0;0;0;CLERMONT-FERRAND-ALLIER-BRESNAY-03210
03000;CLERMONT-FERRAND;ALLIER;BRESSOLLES;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;4;85;29;56;0;9;7;16;14;10;CLERMONT-FERRAND-ALLIER-BRESSOLLES-03000
03110;CLERMONT-FERRAND;ALLIER;BROUT-VERNET;ECOLE PRIMAIRE PUBLIQUE;C. GILLIOPPE;PUBLIC;5;109;45;64;0;16;12;14;15;7;CLERMONT-FERRAND-ALLIER-BROUT-VERNET-03110
03700;CLERMONT-FERRAND;ALLIER;BRUGHEAS;ECOLE PRIMAIRE PUBLIQUE;GROUPE SCOLAIRE DE BRUGHEAS;PUBLIC;6;151;56;95;0;21;13;17;27;17;CLERMONT-FERRAND-ALLIER-BRUGHEAS-03700
03270;CLERMONT-FERRAND;ALLIER;BUSSET;ECOLE PRIMAIRE PUBLIQUE;ECOLE PRIMAIRE;PUBLIC;3;63;32;31;0;7;2;7;6;9;CLERMONT-FERRAND-ALLIER-BUSSET-03270
03440;CLERMONT-FERRAND;ALLIER;BUXIERES-LES-MINES;ECOLE PRIMAIRE PUBLIQUE;SAMUEL PATY;PUBLIC;3;59;20;39;0;0;0;12;17;10;CLERMONT-FERRAND-ALLIER-BUXIERES-LES-MINES-03440
03350;CLERMONT-FERRAND;ALLIER;CERILLY;ECOLE PRIMAIRE;CHARLES LOUIS PHILIPPE;PUBLIC;5;89;24;65;0;12;8;15;16;14;CLERMONT-FERRAND-ALLIER-CERILLY-03350
03500;CLERMONT-FERRAND;ALLIER;CESSET;ECOLE ELEMENTAIRE PUBLIQUE;BREUILLY;PUBLIC;1;43;0;43;0;6;11;8;5;13;CLERMONT-FERRAND-ALLIER-CESSET-03500
03370;CLERMONT-FERRAND;ALLIER;CHAMBERAT;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;18;0;18;0;0;0;3;8;7;CLERMONT-FERRAND-ALLIER-CHAMBERAT-03370
03170;CLERMONT-FERRAND;ALLIER;CHAMBLET;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;6;121;41;80;0;13;21;17;14;15;CLERMONT-FERRAND-ALLIER-CHAMBLET-03170
03140;CLERMONT-FERRAND;ALLIER;CHANTELLE;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;4;76;0;76;0;7;12;13;22;22;CLERMONT-FERRAND-ALLIER-CHANTELLE-03140
03140;CLERMONT-FERRAND;ALLIER;CHANTELLE;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;2;39;39;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-CHANTELLE-03140
03390;CLERMONT-FERRAND;ALLIER;CHAPPES;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;10;0;10;0;5;5;0;0;0;CLERMONT-FERRAND-ALLIER-CHAPPES-03390
03110;CLERMONT-FERRAND;ALLIER;CHARMEIL;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;4;86;27;59;0;12;16;13;8;10;CLERMONT-FERRAND-ALLIER-CHARMEIL-03110
03140;CLERMONT-FERRAND;ALLIER;CHARROUX;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;25;0;25;0;0;0;0;11;14;CLERMONT-FERRAND-ALLIER-CHARROUX-03140
03510;CLERMONT-FERRAND;ALLIER;CHASSENARD;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;4;88;34;54;0;9;12;9;11;13;CLERMONT-FERRAND-ALLIER-CHASSENARD-03510
03500;CLERMONT-FERRAND;ALLIER;CHATEL-DE-NEUVRE;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;2;33;25;8;0;8;0;0;0;0;CLERMONT-FERRAND-ALLIER-CHATEL-DE-NEUVRE-03500
03210;CLERMONT-FERRAND;ALLIER;CHATILLON;ECOLE ELEMENTAIRE PUBLIQUE;CLOTILDE DEJOUX;PUBLIC;1;20;0;20;0;0;0;13;7;0;CLERMONT-FERRAND-ALLIER-CHATILLON-03210
03440;CLERMONT-FERRAND;ALLIER;CHAVENON;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;1;14;14;0;0;0;0;0;0;0;CLERMONT-FERRAND-ALLIER-CHAVENON-03440
03220;CLERMONT-FERRAND;ALLIER;CHAVROCHES;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;1;14;0;14;0;0;0;0;5;9;CLERMONT-FERRAND-ALLIER-CHAVROCHES-03220
03370;CLERMONT-FERRAND;ALLIER;CHAZEMAIS;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;2;39;0;39;0;0;13;15;11;0;CLERMONT-FERRAND-ALLIER-CHAZEMAIS-03370
